Year,Week,Violence_score
2004,1,2
2004,14,1
2004,15,1
2004,19,1
2004,20,2
2004,21,1
2004,25,2
2004,26,1
2004,27,3
2004,28,1
2004,29,5
2004,30,2
2004,31,14
2004,32,40
2004,33,31
2004,34,44
2004,35,22
2004,36,35
2004,37,33
2004,38,39
2004,39,28
2004,40,30
2004,41,24
2004,42,32
2004,43,18
2004,44,30
2004,45,34
2004,46,41
2004,47,27
2004,48,23
2004,49,31
2004,50,32
2004,51,17
2004,52,21
2004,53,25
2005,1,61
2005,2,59
2005,3,58
2005,4,72
2005,5,72
2005,6,67
2005,7,70
2005,8,56
2005,9,75
2005,10,56
2005,11,61
2005,12,70
2005,13,64
2005,14,78
2005,15,70
2005,16,71
2005,17,78
2005,18,68
2005,19,67
2005,20,69
2005,21,74
2005,22,64
2005,23,82
2005,24,74
2005,25,81
2005,26,67
2005,27,80
2005,28,89
2005,29,93
2005,30,100
2005,31,109
2005,32,94
2005,33,97
2005,34,89
2005,35,84
2005,36,86
2005,37,67
2005,38,80
2005,39,93
2005,40,91
2005,41,72
2005,42,84
2005,43,71
2005,44,82
2005,45,99
2005,46,70
2005,47,84
2005,48,90
2005,49,64
2005,50,77
2005,51,77
2005,52,68
2005,53,20
2006,1,80
2006,2,87
2006,3,68
2006,4,55
2006,5,73
2006,6,63
2006,7,68
2006,8,79
2006,9,77
2006,10,64
2006,11,64
2006,12,88
2006,13,79
2006,14,72
2006,15,74
2006,16,82
2006,17,72
2006,18,76
2006,19,74
2006,20,73
2006,21,90
2006,22,87
2006,23,113
2006,24,99
2006,25,129
2006,26,107
2006,27,124
2006,28,94
2006,29,116
2006,30,111
2006,31,115
2006,32,98
2006,33,85
2006,34,103
2006,35,86
2006,36,72
2006,37,78
2006,38,79
2006,39,93
2006,40,85
2006,41,81
2006,42,63
2006,43,85
2006,44,68
2006,45,56
2006,46,79
2006,47,105
2006,48,107
2006,49,92
2006,50,73
2006,51,69
2006,52,85
2007,1,148
2007,2,113
2007,3,131
2007,4,108
2007,5,115
2007,6,99
2007,7,88
2007,8,125
2007,9,98
2007,10,108
2007,11,90
2007,12,126
2007,13,116
2007,14,140
2007,15,184
2007,16,170
2007,17,184
2007,18,195
2007,19,160
2007,20,190
2007,21,201
2007,22,209
2007,23,183
2007,24,196
2007,25,236
2007,26,199
2007,27,225
2007,28,205
2007,29,246
2007,30,235
2007,31,268
2007,32,245
2007,33,241
2007,34,199
2007,35,188
2007,36,209
2007,37,187
2007,38,208
2007,39,220
2007,40,163
2007,41,193
2007,42,178
2007,43,188
2007,44,192
2007,45,189
2007,46,204
2007,47,181
2007,48,188
2007,49,180
2007,50,166
2007,51,162
2007,52,168
2008,1,217
2008,2,155
2008,3,160
2008,4,141
2008,5,167
2008,6,155
2008,7,164
2008,8,173
2008,9,170
2008,10,154
2008,11,162
2008,12,160
2008,13,146
2008,14,170
2008,15,197
2008,16,209
2008,17,192
2008,18,180
2008,19,195
2008,20,192
2008,21,187
2008,22,232
2008,23,176
2008,24,203
2008,25,245
2008,26,207
2008,27,264
2008,28,284
2008,29,230
2008,30,297
2008,31,259
2008,32,209
2008,33,253
2008,34,218
2008,35,234
2008,36,215
2008,37,187
2008,38,188
2008,39,191
2008,40,181
2008,41,191
2008,42,175
2008,43,175
2008,44,189
2008,45,157
2008,46,200
2008,47,166
2008,48,197
2008,49,198
2008,50,176
2008,51,151
2008,52,147
2009,1,92
2009,2,158
2009,3,134
2009,4,135
2009,5,140
2009,6,165
2009,7,153
2009,8,155
2009,9,130
2009,10,116
2009,11,137
2009,12,156
2009,13,152
2009,14,175
2009,15,170
2009,16,207
2009,17,187
2009,18,216
2009,19,169
2009,20,190
2009,21,196
2009,22,209
2009,23,185
2009,24,189
2009,25,178
2009,26,211
2009,27,218
2009,28,219
2009,29,213
2009,30,192
2009,31,195
2009,32,249
2009,33,210
2009,34,230
2009,35,191
2009,36,208
2009,37,217
2009,38,189
2009,39,193
2009,40,149
