Year,Week,Violence_score
1993,1,3111
1993,2,3077
1993,3,3212
1993,4,3396
1993,5,3806
1993,6,3506
1993,7,3113
1993,8,3181
1993,9,3825
1993,10,3563
1993,11,3821
1993,12,4030
1993,13,3994
1993,14,4069
1993,15,4154
1993,16,4065
1993,17,4218
1993,18,4369
1993,19,4204
1993,20,3987
1993,21,3962
1993,22,4098
1993,23,4341
1993,24,4242
1993,25,4309
1993,26,4309
1993,27,4314
1993,28,4319
1993,29,4322
1993,30,4689
1993,31,4438
1993,32,4596
1993,33,4554
1993,34,4607
1993,35,4450
1993,36,4377
1993,37,4026
1993,38,4061
1993,39,4153
1993,40,4068
1993,41,4142
1993,42,4115
1993,43,4180
1993,44,3888
1993,45,3901
1993,46,3739
1993,47,3353
1993,48,3763
1993,49,3902
1993,50,3829
1993,51,2862
1993,52,1936
1993,53,1405
1994,1,3017
1994,2,2926
1994,3,2801
1994,4,3112
1994,5,3220
1994,6,3040
1994,7,3618
1994,8,2991
1994,9,3522
1994,10,3584
1994,11,3756
1994,12,3770
1994,13,3594
1994,14,3746
1994,15,3798
1994,16,3931
1994,17,3678
1994,18,3672
1994,19,3871
1994,20,3882
1994,21,3722
1994,22,3789
1994,23,3988
1994,24,4017
1994,25,4011
1994,26,3929
1994,27,3957
1994,28,3979
1994,29,4052
1994,30,4064
1994,31,3923
1994,32,3913
1994,33,3934
1994,34,3823
1994,35,3274
1994,36,3565
1994,37,3703
1994,38,3326
1994,39,3154
1994,40,2879
1994,41,2965
1994,42,3021
1994,43,2622
1994,44,2331
1994,45,2258
1994,46,2066
1994,47,1968
1994,48,1559
1994,49,1145
1994,50,1083
1994,51,832
1994,52,1468
2006,1,273
2006,2,276
2006,3,259
2006,4,274
2006,5,244
2006,6,217
2006,7,246
2006,8,235
2006,9,242
2006,10,290
2006,11,239
2006,12,270
2006,13,279
2006,14,287
2006,15,302
2006,16,315
2006,17,347
2006,18,313
2006,19,283
2006,20,327
2006,21,339
2006,22,333
2006,23,328
2006,24,310
2006,25,302
2006,26,348
2006,27,306
2006,28,335
2006,29,306
2006,30,342
2006,31,365
2006,32,304
2006,33,343
2006,34,318
2006,35,336
2006,36,335
2006,37,303
2006,38,293
