Year,Week,Violence_score
2005,8,1
2005,43,1
2005,50,1
2006,1,32
2006,2,30
2006,3,35
2006,4,24
2006,5,40
2006,6,32
2006,7,32
2006,8,27
2006,9,29
2006,10,15
2006,11,20
2006,12,27
2006,13,23
2006,14,34
2006,15,33
2006,16,19
2006,17,43
2006,18,34
2006,19,25
2006,20,40
2006,21,34
2006,22,27
2006,23,28
2006,24,31
2006,25,18
2006,26,30
2006,27,33
2006,28,37
2006,29,31
2006,30,41
2006,31,38
2006,32,26
2006,33,37
2006,34,25
2006,35,29
2006,36,35
2006,37,21
2006,38,29
2006,39,28
2006,40,28
2006,41,23
2006,42,20
2006,43,16
2006,44,29
2006,45,24
2006,46,41
2006,47,30
2006,48,28
2006,49,28
2006,50,36
2006,51,29
2006,52,19
2007,1,824
2007,2,628
2007,3,631
2007,4,701
2007,5,691
2007,6,760
2007,7,669
2007,8,690
2007,9,751
2007,10,700
2007,11,693
2007,12,793
2007,13,740
2007,14,690
2007,15,717
2007,16,809
2007,17,744
2007,18,735
2007,19,734
2007,20,810
2007,21,756
2007,22,773
2007,23,700
2007,24,725
2007,25,744
2007,26,793
2007,27,776
2007,28,748
2007,29,720
2007,30,849
2007,31,814
2007,32,768
2007,33,752
2007,34,819
2007,35,778
2007,36,745
2007,37,752
2007,38,676
2007,39,649
2007,40,718
2007,41,727
2007,42,740
2007,43,673
2007,44,750
2007,45,741
2007,46,728
2007,47,685
2007,48,714
2007,49,733
2007,50,737
2007,51,707
2007,52,624
2008,1,1003
2008,2,732
2008,3,760
2008,4,668
2008,5,717
2008,6,709
2008,7,683
2008,8,689
2008,9,751
2008,10,716
2008,11,755
2008,12,797
2008,13,695
2008,14,737
2008,15,735
2008,16,770
2008,17,790
2008,18,811
2008,19,790
2008,20,804
2008,21,790
2008,22,857
2008,23,782
2008,24,818
2008,25,776
2008,26,764
2008,27,848
2008,28,786
2008,29,812
2008,30,859
2008,31,870
2008,32,883
2008,33,843
2008,34,874
2008,35,831
2008,36,821
2008,37,847
2008,38,851
2008,39,793
2008,40,909
2008,41,805
2008,42,854
2008,43,760
2008,44,791
2008,45,806
2008,46,818
2008,47,818
2008,48,778
2008,49,804
2008,50,736
2008,51,582
2008,52,554
2009,1,452
2009,2,728
2009,3,749
2009,4,788
2009,5,777
2009,6,695
2009,7,720
2009,8,780
2009,9,776
2009,10,749
2009,11,809
2009,12,746
2009,13,775
2009,14,733
2009,15,864
2009,16,850
2009,17,865
2009,18,751
2009,19,750
2009,20,716
2009,21,801
2009,22,783
2009,23,807
2009,24,800
2009,25,876
2009,26,805
2009,27,856
2009,28,790
2009,29,842
2009,30,860
2009,31,865
2009,32,753
2009,33,883
2009,34,870
2009,35,872
2009,36,837
2009,37,807
2009,38,851
2009,39,890
2009,40,869
2009,41,845
2009,42,822
2009,43,882
2009,44,867
2009,45,786
2009,46,839
2009,47,881
2009,48,802
2009,49,812
2009,50,751
2009,51,959
2009,52,757
2009,53,437
2010,1,935
2010,2,980
2010,3,905
2010,4,871
2010,5,863
2010,6,872
2010,7,854
2010,8,857
2010,9,828
2010,10,851
2010,11,873
2010,12,831
2010,13,816
2010,14,814
2010,15,871
2010,16,931
2010,17,990
2010,18,892
2010,19,1018
2010,20,1023
2010,21,987
2010,22,1020
2010,23,1017
2010,24,976
2010,25,1041
2010,26,1009
2010,27,989
2010,28,1008
2010,29,1025
2010,30,1054
2010,31,986
2010,32,994
2010,33,996
2010,34,952
2010,35,970
2010,36,932
2010,37,1011
2010,38,1001
2010,39,1040
2010,40,975
2010,41,962
2010,42,981
2010,43,1013
2010,44,988
2010,45,823
2010,46,882
2010,47,777
2010,48,996
2010,49,975
2010,50,903
2010,51,822
2010,52,575
2010,53,437
2011,1,1195
2011,2,1364
2011,3,1345
2011,4,1326
2011,5,1301
2011,6,1213
2011,7,1203
2011,8,1075
2011,9,1304
2011,10,1200
2011,11,1323
2011,12,1271
2011,13,1417
2011,14,1380
2011,15,1385
2011,16,1466
2011,17,1616
2011,18,1544
2011,19,1512
2011,20,1556
2011,21,1526
2011,22,1669
2011,23,1583
2011,24,1658
2011,25,1688
2011,26,1806
2011,27,1753
2011,28,1699
2011,29,1802
2011,30,1791
2011,31,1889
2011,32,1835
2011,33,1965
2011,34,2008
2011,35,1919
2011,36,1987
2011,37,1859
2011,38,1924
2011,39,1972
2011,40,1923
2011,41,1874
2011,42,1899
2011,43,1933
2011,44,1929
2011,45,1926
2011,46,1875
2011,47,1770
2011,48,1955
2011,49,1838
2011,50,2027
2011,51,1919
2011,52,1931
2012,1,3162
2012,2,2780
2012,3,2295
2012,4,2933
2012,5,2915
2012,6,2850
2012,7,2854
2012,8,2868
2012,9,2888
2012,10,2996
2012,11,2893
2012,12,3013
2012,13,3044
2012,14,2913
2012,15,3141
2012,16,3314
2012,17,3402
2012,18,3322
2012,19,3188
2012,20,3412
2012,21,3369
2012,22,3544
2012,23,3115
2012,24,3439
2012,25,3431
2012,26,3652
2012,27,3312
2012,28,3480
2012,29,3512
2012,30,3619
2012,31,3528
2012,32,3393
2012,33,3520
2012,34,3534
2012,35,3557
2012,36,3346
2012,37,3375
2012,38,3453
2012,39,3486
2012,40,3493
2012,41,3256
2012,42,3371
2012,43,3278
2012,44,3614
2012,45,3287
2012,46,3380
2012,47,3100
2012,48,3500
2012,49,3254
2012,50,3316
2012,51,3166
2012,52,3388
