Year,Week,Violence_score
1994,1,8
1994,2,6
1994,3,10
1994,4,7
1994,5,7
1994,6,4
1994,7,8
1994,8,8
1994,9,13
1994,10,6
1994,11,15
1994,12,8
1994,13,6
1994,14,16
1994,15,23
1994,16,15
1994,17,7
1994,18,7
1994,19,11
1994,20,12
1994,21,4
1994,22,9
1994,23,12
1994,24,17
1994,25,8
1994,26,8
1994,52,3
1995,1,612
1995,2,575
1995,3,682
1995,4,634
1995,5,598
1995,6,593
1995,7,665
1995,8,698
1995,9,615
1995,10,694
1995,11,703
1995,12,704
1995,13,747
1995,14,657
1995,15,683
1995,16,767
1995,17,806
1995,18,790
1995,19,805
1995,20,798
1995,21,788
1995,22,773
1995,23,743
1995,24,820
1995,25,920
1995,26,837
1995,27,799
1995,28,849
1995,29,808
1995,30,843
1995,31,791
1995,32,806
1995,33,846
1995,34,823
1995,35,804
1995,36,759
1995,37,790
1995,38,740
1995,39,746
1995,40,702
1995,41,805
1995,42,796
1995,43,737
1995,44,760
1995,45,703
1995,46,683
1995,47,634
1995,48,660
1995,49,654
1995,50,584
1995,51,579
1995,52,645
1996,1,899
1996,2,648
1996,3,803
1996,4,763
1996,5,738
1996,6,784
1996,7,730
1996,8,838
1996,9,742
1996,10,605
1996,11,751
1996,12,820
1996,13,794
1996,14,815
1996,15,785
1996,16,872
1996,17,756
1996,18,804
1996,19,915
1996,20,849
1996,21,903
1996,22,1050
1996,23,1158
1996,24,1187
1996,25,1159
1996,26,1287
1996,27,1324
1996,28,1236
1996,29,1270
1996,30,1222
1996,31,1265
1996,32,1360
1996,33,1339
1996,34,1369
1996,35,1198
1996,36,1201
1996,37,1177
1996,38,1190
1996,39,1302
1996,40,1206
1996,41,1187
1996,42,1261
1996,43,1258
1996,44,1223
1996,45,1159
1996,46,1042
1996,47,1118
1996,48,985
1996,49,1032
1996,50,1086
1996,51,1127
1996,52,1027
1997,1,1364
1997,2,997
1997,3,1063
1997,4,1119
1997,5,1148
1997,6,1065
1997,7,1039
1997,8,1159
1997,9,1215
1997,10,1160
1997,11,1066
1997,12,1073
1997,13,1216
1997,14,1041
1997,15,1237
