Year,Week,Violence_score
1991,1,3798
1991,2,2869
1991,3,2842
1991,4,2871
1991,5,3302
1991,6,3025
1991,7,2808
1991,8,3023
1991,9,2859
1991,10,2881
1991,11,2816
1991,12,2899
1991,13,2773
1991,14,3204
1991,15,3256
1991,16,3200
1991,17,3150
1991,18,3682
1991,19,3474
1991,20,3590
1991,21,3525
1991,22,3810
1991,23,3432
1991,24,3652
1991,25,3565
1991,26,3480
1991,27,3956
1991,28,3631
1991,29,3742
1991,30,3679
1991,31,3943
1991,32,3703
1991,33,3779
1991,34,3816
1991,35,3653
1991,36,3470
1991,37,3425
1991,38,3151
1991,39,3006
1991,40,3165
1991,41,2993
1991,42,3080
1991,43,3170
1991,44,3026
1991,45,2676
1991,46,2864
1991,47,2623
1991,48,2858
1991,49,2819
1991,50,2663
1991,51,2713
1991,52,2626
1992,1,2685
1992,2,3055
1992,3,2806
1992,4,3002
1992,5,3030
1992,6,2854
1992,7,2980
1992,8,3048
1992,9,2995
1992,10,3230
1992,11,2818
1992,12,3054
1992,13,3153
1992,14,3315
1992,15,3164
1992,16,3208
1992,17,3406
1992,18,3368
1992,19,3145
1992,20,3325
1992,21,3349
1992,22,3174
1992,23,3417
1992,24,3223
1992,25,3358
1992,26,3268
1992,27,3289
1992,28,3431
1992,29,3295
1992,30,3279
1992,31,3338
1992,32,3431
1992,33,3472
1992,34,3351
1992,35,3190
1992,36,3241
1992,37,3262
1992,38,3106
1992,39,3225
1992,40,3177
1992,41,3128
1992,42,2889
1992,43,2942
1992,44,3119
1992,45,2898
1992,46,2928
1992,47,2939
1992,48,2829
1992,49,2678
1992,50,2893
1992,51,2744
1992,52,2685
1992,53,1680
2007,1,50
2007,2,40
2007,3,46
2007,4,43
2007,5,43
2007,6,37
2007,7,57
2007,8,57
2007,9,59
2007,10,66
2007,11,59
2007,12,54
2007,13,51
2007,14,54
2007,15,51
2007,16,53
2007,17,43
2007,18,44
2007,19,49
2007,20,73
2007,21,57
2007,22,62
2007,23,59
2007,24,65
2007,25,50
2007,26,65
2007,27,56
2007,28,48
2007,29,61
2007,30,73
2007,31,69
2007,32,60
2007,33,62
2007,34,53
2007,35,47
2007,36,47
2007,37,49
2007,38,56
2007,39,49
2007,40,54
2007,41,55
2007,42,51
2007,43,52
2007,44,54
2007,45,59
2007,46,60
2007,47,60
2007,48,58
2007,49,72
2007,50,60
2007,51,74
2007,52,53
2008,1,53
2008,2,62
2008,3,58
2008,4,48
2008,5,55
2008,6,49
2008,7,39
2008,8,47
2008,9,35
2008,10,33
2008,11,39
2008,12,51
2008,13,46
2008,14,45
2008,15,56
2008,16,55
2008,17,50
2008,18,54
2008,19,60
2008,20,44
2008,21,72
2008,22,41
2008,23,65
2008,24,42
2008,25,59
2008,26,54
2008,27,59
2008,28,49
2008,29,51
2008,30,60
2008,31,52
2008,32,43
2008,33,53
2008,34,51
2008,35,55
2008,36,49
2008,37,55
2008,38,43
2008,39,69
2008,40,42
2008,41,47
2008,42,61
2008,43,53
2008,44,60
2008,45,56
2008,46,65
2008,47,56
2008,48,67
2008,49,45
2008,50,46
2008,51,69
2008,52,53
2009,1,27
2009,2,49
2009,3,40
2009,4,60
2009,5,43
2009,6,38
2009,7,35
2009,8,45
2009,9,54
2009,10,42
2009,11,46
2009,12,51
2009,13,51
2009,14,57
2009,15,36
2009,16,46
2009,17,47
2009,18,57
2009,19,76
2009,20,51
2009,21,50
2009,22,69
2009,23,52
2009,24,48
2009,25,69
2009,26,63
2009,27,49
2009,28,53
2009,29,66
2009,30,67
2009,31,62
2009,32,53
2009,33,56
2009,34,53
2009,35,51
2009,36,41
2009,37,39
2009,38,39
2009,39,51
2009,40,42
2009,41,43
2009,42,53
2009,43,54
2009,44,56
2009,45,38
2009,46,48
2009,47,59
2009,48,57
2009,49,51
2009,50,53
2009,51,42
2009,52,61
2009,53,22
2010,1,50
2010,2,51
2010,3,38
2010,4,43
2010,5,48
2010,6,37
2010,7,41
2010,8,41
2010,9,40
2010,10,39
2010,11,48
2010,12,53
2010,13,50
2010,14,44
2010,15,54
2010,16,36
2010,17,50
2010,18,64
2010,19,66
2010,20,74
2010,21,57
2010,22,52
2010,23,45
2010,24,65
2010,25,61
2010,26,58
2010,27,52
2010,28,70
2010,29,57
2010,30,39
2010,31,50
2010,32,53
2010,33,52
2010,34,44
2010,35,35
2010,36,49
2010,37,50
2010,38,50
2010,39,42
2010,40,44
2010,41,56
2010,42,52
2010,43,53
2010,44,41
2010,45,56
2010,46,45
2010,47,50
2010,48,43
2010,49,47
2010,50,54
2010,51,48
2010,52,34
2010,53,18
2011,1,40
2011,2,40
2011,3,49
2011,4,37
2011,5,39
2011,6,47
2011,7,36
2011,8,60
2011,9,44
2011,10,37
2011,11,50
2011,12,57
2011,13,49
2011,14,47
2011,15,49
2011,16,49
2011,17,50
2011,18,48
2011,19,42
2011,20,56
2011,21,48
2011,22,48
2011,23,61
2011,24,52
2011,25,48
2011,26,43
2011,27,59
2011,28,54
2011,29,73
2011,30,50
2011,31,51
2011,32,41
2011,33,51
2011,34,37
2011,35,43
2011,36,35
2011,37,49
2011,38,45
2011,39,55
2011,40,33
2011,41,39
2011,42,36
2011,43,50
2011,44,55
2011,45,52
2011,46,38
2011,47,51
2011,48,55
2011,49,60
2011,50,43
2011,51,66
2011,52,41
2012,1,46
2012,2,49
2012,3,51
2012,4,40
2012,5,30
2012,6,54
2012,7,51
2012,8,50
2012,9,42
2012,10,31
2012,11,29
2012,12,50
2012,13,43
2012,14,48
2012,15,41
2012,16,67
2012,17,62
2012,18,46
2012,19,57
2012,20,51
2012,21,41
2012,22,50
2012,23,62
2012,24,44
2012,25,49
2012,26,49
2012,27,60
2012,28,58
2012,29,68
2012,30,61
2012,31,48
2012,32,57
2012,33,63
2012,34,51
2012,35,49
2012,36,43
2012,37,38
2012,38,39
2012,39,63
2012,40,54
2012,41,59
2012,42,50
2012,43,52
2012,44,36
2012,45,60
2012,46,48
2012,47,57
2012,48,53
2012,49,50
2012,50,53
2012,51,68
2012,52,49
