Year,Week,Violence_score
1993,1,27
1993,2,46
1993,3,34
1993,4,41
1993,5,24
1993,6,36
1993,7,27
1993,8,39
1993,9,51
1993,10,37
1993,11,32
1993,12,25
1993,13,33
1993,14,26
1993,15,28
1993,16,32
1993,17,32
1993,18,35
1993,19,48
1993,20,54
1993,21,46
1993,22,76
1993,23,50
1993,24,51
1993,25,66
1993,26,89
1993,27,51
1993,28,67
1993,29,55
1993,30,92
1993,31,74
1993,32,83
1993,33,75
1993,34,93
1993,35,99
1993,36,124
1993,37,101
1993,38,145
1993,39,217
1993,40,227
1993,41,242
1993,42,230
1993,43,243
1993,44,370
1993,45,288
1993,46,363
1993,47,233
1993,48,369
1993,49,328
1993,50,340
1993,51,249
1993,52,228
1993,53,20
1994,1,378
1994,2,401
1994,3,433
1994,4,369
1994,5,467
1994,6,409
1994,7,486
1994,8,458
1994,9,540
1994,10,450
1994,11,547
1994,12,485
1994,13,525
1994,14,423
1994,15,465
1994,16,451
1994,17,475
1994,18,454
1994,19,435
1994,20,434
1994,21,440
1994,22,572
1994,23,505
1994,24,463
1994,25,534
1994,26,603
1994,27,488
1994,28,517
1994,29,570
1994,30,554
1994,31,607
1994,32,609
1994,33,517
1994,34,557
1994,35,570
1994,36,520
1994,37,477
1994,38,546
1994,39,586
1994,40,481
1994,41,516
1994,42,489
1994,43,516
1994,44,562
1994,45,452
1994,46,437
1994,47,370
1994,48,570
1994,49,491
1994,50,470
1994,51,466
1994,52,571
1995,1,614
1995,2,631
1995,3,601
1995,4,637
1995,5,713
1995,6,595
1995,7,664
1995,8,668
1995,9,744
1995,10,666
1995,11,708
1995,12,666
1995,13,735
1995,14,717
1995,15,731
1995,16,600
1995,17,644
1995,18,698
1995,19,719
1995,20,691
1995,21,645
1995,22,789
1995,23,672
1995,24,761
1995,25,672
1995,26,721
1995,27,621
1995,28,652
1995,29,624
1995,30,689
1995,31,746
1995,32,698
1995,33,757
1995,34,692
1995,35,783
1995,36,734
1995,37,764
1995,38,763
1995,39,779
1995,40,761
1995,41,771
1995,42,715
1995,43,786
1995,44,801
1995,45,685
1995,46,657
1995,47,652
1995,48,736
1995,49,676
1995,50,704
1995,51,610
1995,52,694
1996,1,899
1996,2,695
1996,3,580
1996,4,612
1996,5,610
1996,6,644
1996,7,679
1996,8,728
1996,9,751
1996,10,711
1996,11,657
1996,12,585
1996,13,639
1996,14,692
1996,15,618
1996,16,625
1996,17,640
1996,18,749
1996,19,666
1996,20,687
1996,21,699
1996,22,713
1996,23,626
1996,24,627
1996,25,657
1996,26,618
1996,27,714
1996,28,654
1996,29,678
1996,30,651
1996,31,762
1996,32,689
1996,33,659
1996,34,623
1996,35,679
1996,36,499
1996,37,550
1996,38,568
1996,39,579
1996,40,698
1996,41,725
1996,42,787
1996,43,768
1996,44,893
1996,45,780
1996,46,817
1996,47,837
1996,48,784
1996,49,758
1996,50,784
1996,51,781
1996,52,675
1997,1,951
1997,2,696
1997,3,674
1997,4,708
1997,5,830
1997,6,729
1997,7,757
1997,8,719
1997,9,797
1997,10,746
1997,11,873
1997,12,821
1997,13,878
1997,14,846
1997,15,771
1997,16,787
1997,17,803
1997,18,982
1997,19,886
1997,20,904
1997,21,925
1997,22,884
1997,23,791
1997,24,783
1997,25,822
1997,26,873
1997,27,984
1997,28,908
1997,29,917
1997,30,983
1997,31,1096
1997,32,1010
1997,33,1071
1997,34,1060
1997,35,980
1997,36,1026
1997,37,884
1997,38,971
1997,39,1037
1997,40,1076
1997,41,933
1997,42,994
1997,43,978
1997,44,1116
1997,45,928
1997,46,927
1997,47,891
1997,48,812
1997,49,965
1997,50,784
1997,51,905
1997,52,665
1998,1,665
1998,2,929
1998,3,946
1998,4,956
1998,5,1094
1998,6,975
1998,7,910
1998,8,928
1998,9,992
1998,10,953
1998,11,960
1998,12,957
1998,13,960
1998,14,989
1998,15,816
1998,16,898
1998,17,882
1998,18,1093
1998,19,842
1998,20,954
1998,21,964
1998,22,1001
1998,23,1114
1998,24,928
1998,25,980
1998,26,1006
1998,27,1001
1998,28,922
1998,29,938
1998,30,957
1998,31,1021
1998,32,961
1998,33,977
1998,34,927
1998,35,970
1998,36,994
1998,37,911
1998,38,899
1998,39,925
1998,40,943
