	Wikipedia movie ID	Movie name	Release date	Box office revenue	Year	Week	Dominant_category
0	975900	Ghosts of Mars	2001-08-24	14010832.0	2001	34	kill
1	6631279	Little city	1997-04-04		1997	14	negative_emotion
2	77856	Mary Poppins	1964-08-27	102272727.0	1964	35	family
3	21926710	White on Rice	2009-05-31		2009	22	family
4	156558	Baby Boy	2001-06-27	29381649.0	2001	26	children
5	9548445	Archie: To Riverdale and Back Again	1990-05-06		1990	18	family
6	25960460	Daddy and Them	2001-10-26		2001	43	family
7	4951456	Kinjite: Forbidden Subjects	1989-02-03	3416846.0	1989	5	family
8	5708633	The Great New Wonderful	2006-06-23	172055.0	2006	25	family
9	12053509	Loverboy	1989-04-28	3960327.0	1989	17	children
10	1369204	Juarez	1939-06-10		1939	23	death
11	12371532	Chasing Ghosts: Beyond the Arcade	2007-01-19		2007	3	death
12	32104837	It Came Upon the Midnight Clear	1984-12-15		1984	50	family
13	2647998	The Human Tornado	1976-10-02		1976	40	crime
14	7028314	The Little Hut	1957-05-03	3600000.0	1957	18	death
15	5664529	Vixen!	1968-10-15		1968	42	family
16	5894429	Closing the Ring	2007-09-14		2007	37	children
17	12788657	The Boston Strangler	1968-10-08	17810894.0	1968	41	children
18	27556929	Deadly Voyage	1996-06-14		1996	24	crime
19	2154704	Choke Canyon	1986-05-02		1986	18	crime
20	28301986	Dig That Uranium	1956-01-08		1956	1	traveling
21	33059372	ChromeSkull: Laid to Rest 2	2011-09-20		2011	38	crime
22	3740032	Desperate	1947-05-09		1947	19	crime
23	9380065	Alien Express	2005-08-13		2005	32	negative_emotion
24	164387	...And Justice for All	1979-06-29	33300000.0	1979	26	crime
25	7767613	Star!	1968-07-18	4000000.0	1968	29	family
26	22985953	Beachhead	1954-02-05	1400000.0	1954	5	family
27	3550323	Things to Do in Denver When You're Dead	1995-12-01	529677.0	1995	48	death
28	1765938	Convoy	1978-06-27	45000000.0	1978	26	traveling
29	7460227	The Bridge	2006-09-01		2006	35	wedding
30	18902861	14 Going on 30	1988-03-06		1988	9	party
31	1305819	C.H.U.D.	1984-08-31	4650000.0	1984	35	crime
32	6752142	Good Morning Miss Dove	1955-11-23		1955	47	family
33	180917	Valiant Is the Word for Carrie	1936-10-07		1936	41	children
34	6305925	The Astronaut Farmer	2006-10-15	11130889.0	2006	41	family
35	196176	Straw Dogs	1971-11-03	11148828.0	1971	44	home
36	33872851	The Lone Wolf Meets a Lady	1940-05-30		1940	22	crime
37	2509881	Critters 3	1991-12-11		1991	50	home
38	16304395	Enemy Territory	1987-05-22		1987	21	kill
39	336846	Grease	1978-06-16	394589888.0	1978	24	party
40	27463222	Vanishing on 7th Street	2010-09-12		2010	36	traveling
41	3249964	House by the River	1950-03-25		1950	12	crime
42	5696825	The Dark Half	1993-04-23		1993	16	crime
43	103021	Midnight Express	1978-08-31	35000000.0	1978	35	crime
44	1940449	RoboCop 3	1993-11-05	10600000.0	1993	44	kill
45	30109815	Rogues' Regiment	1948-09-28		1948	40	crime
46	27365295	Hell Boats	1970-03-20		1970	12	kill
47	6703617	The Forbidden Kingdom	2008-04-04	127906624.0	2008	14	kill
48	362719	Superman	1978-12-10	300218018.0	1978	49	negative_emotion
49	17379289	Without Warning	1980-11-26		1980	48	kill
50	10705531	On the Beach	2000-05-28		2000	21	death
51	4459059	Trial and Error	1997-05-30	14598571.0	1997	22	crime
52	4069274	When Will I Be Loved	2004-09-10		2004	37	children
53	3681139	Necessary Roughness	1991-09-27	26255594.0	1991	39	wedding
54	26205476	Song of the Islands	1942-03-13		1942	11	family
55	5685826	The Aviary	2005-06-14		2005	24	traveling
56	5549065	Sweeney Todd: The Demon Barber of Fleet Street	2007-12-03	152523164.0	2007	49	traveling
57	14739568	Hula-La-La	1951-11-01		1951	44	party
58	37067980	The Lady from Peking	1975-11-13		1975	46	family
59	171058	Chaplin	1992-12-25	9493259.0	1992	52	family
60	2608958	Nothing to Lose	1997-07-18	44480039.0	1997	29	family
61	26624119	Beyond the Time Barrier	1960-09-08		1960	36	negative_emotion
62	2546429	Friday the 13th: The Final Chapter	1984-04-13	32980880.0	1984	15	home
63	25947106	The Stoker	1932-06-15		1932	24	family
64	31686022	I'm Losing You	1998-09-17	13996.0	1998	38	party
65	24416479	Beastmaster 2: Through the Portal of Time	1991-08-31	869235.0	1991	35	traveling
66	14881706	The Enemy	1927-12-08		1927	49	death
67	3883051	National Lampoon's Class Reunion	1982-10-29	10054150.0	1982	43	crime
68	21236198	Thief of Damascus	1952-04-01		1952	14	children
69	9105523	Picture Bride	1995-05-05		1995	18	children
70	32400923	My Little Pony: Twinkle Wish Adventure	2009-10-13		2009	42	party
71	17594419	Green Dolphin Street	1947-11-05		1947	45	family
72	207680	Nell	1994-12-14	106683817.0	1994	50	family
73	7489503	Keep in Style	1933-11-16		1933	46	family
74	1858682	Monkey Business	1952-09-02	2000000.0	1952	36	family
75	7235116	Someone to Watch Over Me	1987-10-09	10278549.0	1987	41	party
76	5254729	I Could Never Be Your Woman	2007-05-11	9576495.0	2007	19	children
77	24291753	The Careless Years	1957-09-02		1957	36	family
78	14109452	Crime Doctor	1943-06-22		1943	25	crime
79	12384049	College Coach	1933-11-04		1933	44	family
80	6004372	Grace of My Heart	1996-09-08	617632.0	1996	36	children
81	4473622	Images	1972-12-18		1972	51	family
82	3867110	How They Get There	1997-01-01		1997	1	children
83	11686007	Sioux City	1994-04-01		1994	13	children
84	22557257	The Moment After 2: The Awakening	2006-05-28		2006	21	kill
85	7731853	Laugh, Clown, Laugh	1928-04-14		1928	15	family
86	12091274	Puccini for Beginners	2007-02-02	110864.0	2007	5	wedding
87	856733	A Shot in the Dark	1964-06-23		1964	26	crime
88	8887199	The Angels Wash Their Faces	1939-08-26		1939	34	crime
89	76345	Shaft	1971-06-25		1971	25	traveling
90	24021571	Just Wright	2010-05-14	21570263.0	2010	19	home
91	1854612	Casper: A Spirited Beginning	1997-09-09		1997	37	traveling
92	11696799	Breaking the Surface: The Greg Louganis Story	1997-03-19		1997	12	children
93	4926447	The Big Trees	1952-02-05		1952	6	crime
94	1226289	Bless the Child	2000-08-11	40443010.0	2000	32	family
