,ID,Score
2140,Desperate Characters,0.9977940320968628
4048,Contact,0.9977585077285767
3039,Voices,0.9977229237556458
4328,Mahanagar,0.9977228045463562
2767,Keep It for Yourself,0.9976873397827148
1958,The Band Wagon,0.9976100921630859
3450,The Republic of Love,0.9975863695144653
5618,Vincent,0.9975672960281372
5019,Attacked!!,0.9975551962852478
531,The Last Mile,0.9975520968437195
4670,Phobia,0.9975423812866211
1655,Gooby,0.9975321292877197
3374,The Tingler,0.9975307583808899
599,Disco Beaver from Outer Space,0.9974796175956726
1917,Vanished,0.9974752068519592
2384,The Young Warriors,0.9974639415740967
3812,The Seniors,0.997450053691864
2404,Viola Kisses Everybody,0.9974285960197449
1473,The Terror,0.9974258542060852
5678,Noson Lawen,0.997367799282074
1131,Baton Baton Mein,0.9973594546318054
3406,Groove,0.9973492622375488
3454,A Pain in the Pullman,0.9973329305648804
5460,Spellbound,0.9973182082176208
5760,Lost Song,0.9973133206367493
4602,The Place at the Coast,0.9973128437995911
5078,Sugar Creek,0.997302770614624
149,Itsy Bitsy Spider,0.9973019361495972
134,Pleasureland,0.9972962737083435
1206,Get Married 2,0.9972937703132629
637,The Late Edwina Black,0.9972520470619202
1313,The Committee,0.9972460269927979
451,Scared to Death,0.9971936941146851
2798,Passion Fish,0.9971876740455627
1101,Revision - Apocalypse II,0.9971858859062195
2845,Il vostro super agente Flit,0.9971849322319031
5621,Toolbox Murders,0.997173547744751
5499,The Awful Tooth,0.9971657395362854
4388,The Bread and Alley,0.9971629977226257
4542,Jalpari: The Desert Mermaid,0.9971513152122498
4154,Neighbor,0.9971441626548767
4288,The City of No Limits,0.9971412420272827
1967,Warish,0.9971297383308411
280,Cheriyachante Kroorakrithyangal,0.9971234202384949
930,Dollar Dreams,0.9970589876174927
2052,Rock All Night,0.9970429539680481
1624,Goodbye First Love,0.9970216155052185
1686,Strange Interlude,0.9970111846923828
1410,Dead Fury,0.9969940185546875
178,Blink,0.9969808459281921
