,ID,Score
0,The Lemon Drop Kid,0.9377462855384995
1,Meet John Doe,0.8723275350377786
2,Husband for Hire,0.8986780643463135
3,Up and Down,0.7235527038574219
4,House Party 2,0.7157940745353699
5,Ashes to Ashes,0.9575526118278503
6,A Merry Mixup,0.8872203230857849
7,Samson and Delilah,0.7586618065834045
8,Getting Even,0.9945878982543945
9,Pieces,0.7727131854137976
10,River of No Return,0.7011624574661255
11,Amici miei,0.8943268656730652
12,Bikini Beach,0.99025958776474
13,The Storm Riders,0.9534817934036255
14,Against Her Will: An Incident in Baltimore,0.7462916374206543
15,Milk and Honey,0.8430582284927368
16,Twist,0.9341151118278503
17,Killjoy,0.7106983219947686
18,Sagar alias Jackie,0.94755619764328
19,Geometria,0.7251743078231812
20,The Land Before Time III: The Time of the Great Giving,0.77110739346792
21,The Incredibly True Adventure of Two Girls in Love,0.8658510433019034
22,The Bloody Fists,0.7075923085212708
23,Rhythm,0.7163998385032494
24,The Passion of Joan of Arc,0.7262829542160034
25,Day Watch,0.7293518674682538
26,Sophie's Choice,0.985529363155365
27,Until Death,0.7294736514933666
28,Maria’s Lovers,0.8602562601413202
29,Witness Insecurity,0.8827888369560242
30,Three Little Bops,0.8855531981250268
31,The Black Corsair,0.9882436990737915
32,Aparan,0.9215758442878723
33,I Am King of Joseon,0.795835018157959
34,Each Dawn I Die,0.9646343958308126
35,Bug Buster,0.8691630363464355
36,Una mujer sin amor,0.885067655506384
37,Bowling Balls,0.8747349977493286
38,Maha Chor,0.7158492560588874
39,The Boy Who Cried Werewolf,0.7215359386323434
40,Mother India,0.86327120656165
41,Il Postino,0.9370241761207581
42,Lights of New York,0.9413174390792847
43,The Crusader,0.9546799063682556
44,Hot Millions,0.9687758684158325
45,Take A Hard Ride,0.9957239627838135
46,The Pioneers,0.7904614210128784
47,Folks!,0.7751692216984263
48,Northern Lights,0.821591172669385
49,Orphans Of The Storm,0.7683043422294841
50,Billa 2,0.9931135590259845
51,Luv Shuv Tey Chicken Khurana,0.7162914276123047
52,Munich,0.754549328102055
53,Face the Evil,0.9015821814537048
54,Woodpecker in the Rough,0.9640511274337769
55,"Love, Wedding, Marriage",0.8675066306868873
56,Room and Bird,0.995163083076477
57,The Notorious Elinor Lee,0.7791750431060791
58,Easy Money,0.9512278765954807
59,Abbott and Costello Meet the Keystone Kops,0.7849285006523132
60,All That I Love,0.9543318152427673
61,Mildred Pierce,0.7894822193928341
62,Diaboliquement vôtre,0.914435088634491
63,Aasha,0.8705320358276367
64,Tigger and Pooh and A Musical Too,0.9965906143188477
65,Mighty Aphrodite,0.9930324554443359
66,Mughal-e-Azam,0.752851665019989
67,Fish Hooky,0.8329275846481323
68,"Jacob, the Liar",0.7061710953712463
69,ANG PAMANA,0.9202004532206733
70,That Old Feeling,0.9922616481781006
71,King of the Ants,0.8520625661580992
72,Protector,0.9063691704063572
73,Le Beau Serge,0.9979524612426758
74,Storm Rider,0.9436816573143005
75,The Man Who Quit Smoking,0.7429059147834778
76,Three Brave Men,0.9560179114341736
77,Mela,0.7102938874714579
78,Outpost,0.9455900192260742
79,An Eye for an Eye,0.9948191046714783
80,Stage Beauty,0.831568717956543
81,Bad Boys,0.732083498157304
82,Thappana,0.8200207948684692
83,Afghan Luke,0.8912519812583923
84,Strange Brew,0.73225689589347
85,Jacknife,0.9623442888259888
86,Dirty Work,0.9908109903335571
87,Ring of Spies,0.9882977604866028
88,Charlie Chan in Paris,0.8299395442008972
89,The Lizzie McGuire Movie,0.7164499217301832
90,Overnight,0.9025201744108058
91,St. Benny the Dip,0.7423366904258728
92,His First Flame,0.8166087865829468
93,The War Wagon,0.9572467803955078
94,Space Jam,0.7836416291779486
95,Baby Butch,0.9245442152023315
96,Ceiling Zero,0.9386580279240242
97,The In-Laws,0.8592873215675354
98,Zoolander,0.7006617710893948
99,Bloody Spear at Mount Fuji,0.9940268993377686
100,Peepli Live,0.7414919455846151
101,I Am Curious (Yellow),0.8943344011113651
102,Parakh,0.9769787192344666
103,Dil Hai Ke Manta Nahin,0.74280846118927
104,The Robe,0.7207826162557134
105,Moss,0.7395369410514832
106,Tolerantia,0.9979358911514282
107,Qaidi,0.9207931756973267
108,Break Ke Baad,0.884210227830346
109,The Singing Ringing Tree,0.9238571524620056
110,Newtonin 3-m Vidhi,0.9680220484733582
111,Jay and Silent Bob Strike Back,0.7744474672232067
112,StreetDance 3D,0.9778863191604614
113,The Rocker,0.8522812916245652
114,Odd Girl Out,0.8405315457004132
115,Here Comes the Boom,0.9253366589546204
116,Kiss Kiss,0.9830123782157898
117,A Big Hand for the Little Lady,0.7260523025558965
118,Chang,0.7520045042037964
119,Adultery Diary: One More Time While I'm Still Wet,0.8438945412635803
120,Pennies from Heaven,0.7204197984790134
121,Centurians of Rome,0.9776419401168823
122,The Monster Maker,0.9800165891647339
123,Manthri gari Viyyankudu,0.9976251721382141
124,Veer,0.9709106683731079
125,Kalakalappu,0.7341407537460327
126,The Man with the Golden Arm,0.7909822560216192
127,Thank You Mask Man,0.9980258941650391
128,Wishbone's Dog Days of the West,0.9802361130714417
129,Fiffty Fiffty,0.9954296350479126
130,Remote,0.7714008092880249
131,I Witness,0.9872893691062927
132,Nasibo,0.8101096153259277
133,Dost,0.9181788563728333
134,Unprecedented: The 2000 Presidential Election,0.8103162050247192
135,Bordertown,0.8486533164978027
136,Leghorn Swoggled,0.9407804608345032
137,Tubby the Tuba,0.9646574258804321
138,Easy A,0.8837427115440368
139,Paying the Piper,0.9849728345870972
140,The Price of a Song,0.9877417087554932
141,A Modern Hero,0.9016397847189755
142,By Hook or by Crook,0.7782562971115112
143,The Lure of the Bush,0.9876805543899536
144,I Come in Peace,0.9966129660606384
145,Me and Dad's New Wife,0.9627506136894226
146,Idhaya Thirudan,0.9979793429374695
147,Super,0.760747065788179
148,Hurricane Streets,0.925692617893219
149,Khalass,0.9952570796012878
150,Cruel Winter Blues,0.9964408278465271
151,Whistle Stop,0.988012433052063
152,Dubai,0.9648746368931789
153,The Wedding,0.9174104928970337
154,Marine A Go Go,0.9942010045051575
155,Union Pacific,0.9933945536613464
156,Singapore Dreaming,0.8643791943440642
157,Atoll K,0.9621066451072693
158,Destry Rides Again,0.9812939763069153
159,Ladies They Talk About,0.9355087876319885
160,Motives,0.9333225370763423
161,Naa Alludu,0.9886693358421326
162,Starship Invasions,0.8878259062767029
163,Departamento compartido,0.7379937171936035
164,The Story of Temple Drake,0.7839285135269165
165,Daffy Dilly,0.8342648148536682
166,Bombay To Bangkok,0.8594701886177063
167,Necessary Roughness,0.8991066132272993
168,Mort & Phil. Mission: Save Earth,0.939024806022644
169,Jallikattu Kaalai,0.9967337846755981
170,Trick Or Treats,0.9975852966308594
171,Forbidden Nights,0.7090495228767395
172,Praja,0.8606509570610652
173,Love and Suicide,0.9724418520927429
174,Dr. Akagi,0.8065878748893738
175,Waldo's Last Stand,0.7128360271453857
176,If I Were King,0.9777947664260864
177,Crazy Fruit,0.9199223518371582
178,Malsaram,0.9938820600509644
179,Come and Get It,0.9914297461509705
180,Destry,0.8744723796844482
181,Secrets of a Superstud,0.9139193296432495
182,Chakushin Ari 2,0.7319632831089327
183,Hitler,0.9948614239692688
184,Secuestrados,0.7375666025557805
185,The Living Dead,0.9444992542266846
186,Evolusi KL Drift,0.725559413433075
187,A Night at the Golden Eagle,0.9239388704299927
188,Big Animal,0.7907282114028931
189,The Man from Colorado,0.8768030088624836
190,Bumper Offer,0.9936800003051758
191,Jung,0.8821987509727478
192,Ryokunohara Meikyuu,0.814462423324585
193,Bad Lieutenant,0.8027615728186581
194,The Last Picture Show,0.8061055569212052
195,MP3 - Mera Pehla Pehla Pyaar,0.9292001724243164
196,My Fair Lady,0.7900731076337937
197,Living Dolls: The Making of a Child Beauty Queen,0.8926770687103271
198,Manolete,0.8961153030395508
199,Susan Slept Here,0.9365425705909729
