,ID,Score
0,Destination Meatball,0.9749438762664795
1,"Love, Mary",0.9971127510070801
2,Shaadi No. 1,0.9970765113830566
3,"Wait Until Spring, Bandini",0.9776366353034973
4,Changes,0.9973154664039612
5,Sundays and Cybelle,0.987470805644989
6,The Understudy,0.9019425511360168
7,The Policeman,0.9913139939308167
8,Anything Else,0.944730281829834
9,Old Clothes,0.7239760756492615
10,Always Outnumbered,0.9688333868980408
11,The Truth about Nanjing,0.9375929236412048
12,Noises Off...,0.9147580862045288
13,"I Love You, I Love You Not",0.8461407423019409
14,I Am David,0.7890504002571106
15,Sughamo devi,0.7503836750984192
16,Phir Teri Kahani Yaad Aayee,0.9096173048019409
17,The One Who My Heart Longs For,0.9972661733627319
18,Samson and Delilah,0.7383114695549011
19,Page 3,0.9944230914115906
20,Sun Alley,0.9757501482963562
21,La Résidence Ylang Ylang,0.8635177612304688
22,Bandhana,0.8798335790634155
23,Descendant,0.9969871640205383
24,Poor Cow,0.7810937762260437
25,Parzania,0.9184640049934387
26,Bowery to Bagdad,0.9985789060592651
27,Written By,0.9857599139213562
28,Flower & Garnet,0.9865498542785645
29,Far Out Man,0.9860408902168274
30,Down Twisted,0.9794735312461853
31,American Drug War: The Last White Hope,0.7807406783103943
32,Siempre tuya,0.895812451839447
33,Foxfire,0.7005140781402588
34,Tom's Midnight Garden,0.8256446123123169
35,Nina's Tragedies,0.9371053576469421
36,Mumbai Meri Jaan,0.9897133111953735
37,Men on the Bridge,0.9691556096076965
38,Down the Road Again,0.9291772842407227
39,I Can’t Think Straight,0.7119620442390442
40,The Thomas Crown Affair,0.788931667804718
41,C Kkompany,0.8744205236434937
42,Darwin,0.842454195022583
43,Dog,0.9955655932426453
44,The Dark Hour,0.9907143115997314
45,Split Image,0.9233360886573792
46,Dreaming Lips,0.8076313734054565
47,The Maids of Wilko,0.8144630789756775
48,Manjunatha,0.923976719379425
49,Himmatwala,0.7829878926277161
50,Jada,0.9955717325210571
51,Celtic Pride,0.7055019910210335
52,Memoirs of Modern Love: Curious Age,0.7195583581924438
53,Crossing,0.7636740803718567
54,Ooruku Nooruper,0.98697829246521
55,Birth of the Beatles,0.996975302696228
56,Mr. & Mrs. Bridge,0.9366759061813354
57,The Rainmaker,0.8136445879936218
58,Cellar Dweller,0.7943193316459656
59,Anandam,0.8711743354797363
60,Doctors' Wives,0.9989025592803955
61,Les Accords de Bella,0.9748944640159607
62,ABCD: Anybody Can Dance,0.963460385799408
63,Dennis the Menace: Dinosaur Hunter,0.9971097111701965
64,Amar,0.9951995611190796
65,Thema syneidiseos,0.909026563167572
66,Tough enough,0.9946039319038391
67,Songs from the Second Floor,0.759631335735321
68,The Mars Canon,0.9686042666435242
69,Engineer,0.7856715321540833
70,Triumph of the Spirit,0.9766733050346375
71,December Bride,0.9589207172393799
72,Sailaab,0.9434458017349243
73,Oliver Twist,0.8662179708480835
74,The Female,0.9671000838279724
75,Touchback,0.955099880695343
76,Kinshasa palace,0.7909422516822815
77,O katergaris,0.7898859977722168
78,Radio Bugs,0.773661196231842
79,At the Beginning of Glorious Days,0.7681708931922913
80,The Unnamed Zone,0.973656415939331
81,The Boy Who Had Everything,0.9313938617706299
82,Maw`ed Ma` al-Sa`adah,0.7601736783981323
83,Celia,0.9984064698219299
84,Døden på Oslo S,0.9957990050315857
85,Electra Glide in Blue,0.7271177768707275
86,Kizhakkunarum Pakshi,0.9205094575881958
87,Week-End in Havana,0.9875929951667786
88,Witches of the Caribbean,0.9950875639915466
89,The Witches of Oz,0.9894207715988159
90,Firstborn,0.7596514225006104
91,Manjil Virinja Pookkal,0.9919369220733643
92,The Sick Stockrider,0.986325204372406
93,Angel Rodriguez,0.9941995143890381
94,Happy Anniversary and Goodbye,0.7279159426689148
95,Jatt & Juliet,0.9505138397216797
96,Barefoot Gen 2,0.9728948473930359
97,Tree Without Leaves,0.9721721410751343
98,Living in Emergency: Stories of Doctors Without Borders,0.937604546546936
99,Uptown New York,0.9781608581542969
100,Flavors,0.9963501691818237
101,Baby,0.9906829595565796
102,Piccolo mondo antico,0.9855988025665283
103,Calmi Couri Appassionati,0.9985301494598389
104,Une hirondelle a fait le printemps,0.8405082821846008
105,Yamanam,0.998896598815918
106,Isle of Flowers,0.9009108543395996
107,Light Up the Sky!,0.9705061912536621
108,Dreams of Dust,0.9472948908805847
109,The Last Message,0.9687077403068542
110,Three Brothers,0.8318333625793457
111,Dream On!,0.7214231491088867
112,Avanim,0.9973353743553162
113,Light Sleeper,0.9953031539916992
114,The Secret Rapture,0.9152737259864807
115,Mother of Mine,0.9811086058616638
116,The Journalist,0.9830679297447205
117,On Broadway,0.9987550973892212
118,Boyhood,0.8148928284645081
119,Children of Divorce,0.9329505562782288
120,Bobby,0.9654089212417603
121,Into the Darkness,0.856370747089386
122,Gong with the Pink,0.9516579508781433
123,Shadowlands,0.9820649027824402
124,Satan Hates You,0.8993141055107117
125,Voltron: The End,0.9191694855690002
126,Happy Ero Christmas,0.9969515800476074
127,Princess Daisy,0.9878818988800049
128,Me ... Myself,0.7930552296531507
129,High Barbaree,0.9108980894088745
130,The Last Flight of Noah's Ark,0.9726167321205139
131,Love by Request,0.9908385872840881
132,Night in the City,0.8883975744247437
133,Little Miss Marker,0.8279955983161926
134,The Alien Years,0.7804187536239624
135,Max Steel: Bio Crisis,0.9178723692893982
136,Periwig Maker,0.9709147214889526
137,Aquamania,0.9409767389297485
138,Togetherness Supreme,0.765292763710022
139,Let's All Hate Toronto,0.9865162372589111
140,Aalkkoottathil Thaniye,0.9719567894935608
141,Honeysuckle Rose,0.7094635963439941
142,The Way We Live Now,0.9973185658454895
143,Iddaru Mitrulu,0.7594437003135681
144,Afterwards,0.9970942735671997
145,5 Superfighters,0.9306961297988892
146,"Candide, or the Optimist of the Twentieth Century",0.7611546516418457
147,Waris Jari Hantu,0.8139603137969971
148,Pushing Hands,0.7751955986022949
149,Oliver's Story,0.9986862540245056
150,Season of the Witch,0.9745516180992126
151,The Purple Heart,0.7356793880462646
152,Closet Space,0.8983595967292786
153,The Fairly OddParents: Abra-Catastrophe!,0.7693893716283677
154,Kalyanaraman,0.9895457625389099
155,Berlin – Ecke Schönhauser…,0.8737820982933044
156,Wonderful World,0.9425190687179565
157,Svolochi,0.8858208060264587
158,Young Pioneers' Christmas,0.9590632915496826
159,Casa de Mujeres,0.8976059556007385
160,Ulladakkam,0.834364652633667
161,Mendadak Dangdut,0.9283014535903931
162,Sharada,0.9716075658798218
163,Sigappu Rojakkal,0.8926821351051331
164,Le Fate Ignoranti,0.9866998195648193
165,Pandu Pandoru Rajakumari,0.989343523979187
166,I Do,0.8962824940681458
167,Love and Action in Chicago,0.9876455664634705
168,El Dorado,0.8984038829803467
169,Major Barbara,0.9970620274543762
170,The Photograph,0.8297834396362305
171,Crashout,0.9702450633049011
172,Knock on Any Door,0.9983683228492737
173,Caramel,0.9160144925117493
