,ID,Score
1120,History of the Arkanar Massacre,0.9981196522712708
7345,Fire,0.9980631470680237
127,Thank You Mask Man,0.9980258941650391
7199,Samudhiram,0.998023271560669
2423,Sour Grapes,0.9980113506317139
5529,Alambrado,0.9980112314224243
9626,On the Avenue,0.9980044960975647
12290,State of Grace,0.9979901313781738
3376,Piano Girl,0.9979835748672485
5880,Guy,0.9979804158210754
146,Idhaya Thirudan,0.9979793429374695
5138,Happy Anniversary,0.9979729056358337
73,Le Beau Serge,0.9979524612426758
106,Tolerantia,0.9979358911514282
2535,Scandalous John,0.9979332685470581
12131,The Legend of Rockabye Point,0.9979318380355835
7928,"Love, Honour and Obey",0.99791020154953
3911,Going to the Mat,0.9979015588760376
11610,Kiki,0.9978960752487183
11785,Dumb Patrol,0.9978905320167542
2400,Jaggubhai,0.9978799819946289
3238,I-See-You.Com,0.9978699684143066
5279,Goodbye Broadway,0.9978668093681335
2032,Born Yesterday,0.9978548884391785
7963,Pink DaVinci,0.9978534579277039
6669,The Facts of Life,0.9978511333465576
9594,The Reception,0.9978489875793457
12795,Avalon,0.997835099697113
12798,Everything Is Illuminated,0.997833788394928
3199,Intermission,0.9978328347206116
2737,Madambi,0.9978234767913818
404,That Certain Thing,0.997820258140564
1435,Pink Panzer,0.9978177547454834
743,Dirty Laundry,0.9978037476539612
9678,White Shadows in the South Seas,0.9978023171424866
4301,Loanshark,0.9977911710739136
4219,Port Whines,0.997778594493866
8535,The Adventures of Barry McKenzie,0.9977684020996094
4676,The Pay-Off,0.9977578520774841
7031,Anton Chekhov's The Duel,0.9977278113365173
439,For Those in Peril,0.9977184534072876
4443,Chained Heat,0.997718334197998
9490,Lies My Father Told Me,0.9977155923843384
9832,Spark Plug Pink,0.99770587682724
11333,Talk Radio,0.9977049231529236
762,Hapus,0.9977043271064758
2546,Punch and Jody,0.9976946711540222
6825,Clearcut,0.9976919889450073
405,Captain Spanky's Show Boat,0.9976885318756104
11764,Mean Guns,0.9976873397827148
